"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:35:21.2311802 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2354605 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2355646 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2398856 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2399887 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2423752 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\de5dcaee-6f88-585a-05ee-d8b05b912772","NAME NOT FOUND","Length: 528"
"8:35:21.2424144 PM","csgo.exe","17860","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\703fcc13-b66f-5868-ddd9-e2db7f381ffb","NAME NOT FOUND","Length: 528"
"8:35:21.2430082 PM","csgo.exe","17860","QueryOpen","A:\SteamLibrary\steamapps\common\Counter-Strike Global Offensive\MSASN1.dll","NAME NOT FOUND",""
"8:35:21.2437605 PM","csgo.exe","17860","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\msasn1","NAME NOT FOUND","Desired Access: Read"
"8:35:21.2466158 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:35:21.2467420 PM","csgo.exe","17860","CreateFile","C:\Windows\SysWOW64\d3d.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
